Masked Date,col-A1,col-A2,col-A3,col-A4,col-B1,col-B2,col-B3,col-B4,col-C1,col-C2,col-C3,col-C4,col-D1,col-D2,col-D3,col-D4,col-E1,col-E2,col-E3,col-E4,col-F1,col-F2,col-F3,col-F4,col-G,col-H,col-I,col-J,col-L,col-M,col-N,col-N1,col-O,col-P,col-Q,col-R,col-S,col-T,col-U,col-V,col-W,col-Predict
1,3257.498203,271.6807751,5527.909694,1413.758249,0.629373898,0,755.092422,198.5330158,1.894614802,0,373.1904376,48.24239126,0,0,220.2729921,0.97790127,0,0,177.5916238,0.67274622,0,0,0,4.02091463,4471.95768,7780.007675,1.12612654,144,0,0.8020936,244.4821646,0,0,4118.743187,0,54,500,300,1052.016676,150,12152.60784,18572.65196
2,3257.513931,271.6807751,5528.097452,1413.758249,0.629494586,0,755.3049103,198.5330158,1.892512166,0,372.7885579,48.24239126,0,0,220.406096,0.97790127,0,0,177.279006,0.67274622,0,0,0,4.02091463,4471.957446,7779.840508,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411187,0,54,500,300,1052.016676,150,12152.43784,18616.14996
3,3452.84756,271.6807751,5518.302656,1413.758249,0.626721238,0,751.3278918,198.5330158,1.887185489,0,371.7515558,48.24239126,0,0,219.2018134,0.97790127,0,0,176.3705014,0.67274622,0,0,0,4.02091463,4667.190538,7763.011341,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411187,0,54,500,300,907.0062264,0,12330.84784,18499.54951
4,3453.059692,271.6807751,5519.813443,1413.758249,0.626554837,0,751.2766866,198.5330158,1.896528621,0,372.9288792,48.24239126,0,0,219.6912362,0.97790127,0,0,176.5375642,0.67274622,0,0,0,4.02091463,4673.248574,7760.468004,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411187,0,50,500,300,945.0052033,0,12334.35784,18537.05848
5,3451.725408,271.6848608,5512.606946,1413.758249,0.627386841,0,752.4356968,198.5330158,1.897229482,0,372.9543873,48.24239126,0,0,218.2458494,0.97790127,0,0,175.5063158,0.67274622,0,0,0,4.02091463,4671.970324,7751.918975,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,814.0050908,0,12324.53784,18396.23849
8,3241.915299,471.6848608,5504.279402,1413.758249,0.629896585,0,754.5009328,198.5330158,1.902836366,0,373.6351461,48.24239126,0,0,217.8862422,0.97790127,0,0,177.1784199,0.67274622,0,0,0,4.02091463,4652.938679,7756.879575,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,729.0069958,0,12310.45784,18297.1604
9,3242.28793,471.6848608,5504.532405,1413.758249,0.628676392,0,753.0518731,198.5330158,1.903677399,0,373.812647,48.24239126,0,0,218.2016047,0.97790127,0,0,177.258012,0.67274622,0,0,0,4.02091463,4653.287717,7756.279188,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,729.0069958,0,12310.20784,18296.9104
10,3199.64599,471.7048608,5501.599523,1413.758249,0.629009172,0,753.2746967,198.5330158,1.905499636,0,374.1139247,48.24239126,0,0,218.3210372,0.97790127,0,0,177.2083803,0.67274622,0,0,0,4.02091463,4610.722984,7753.885156,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,551.0027931,0,12265.24784,18073.94619
11,3198.425821,471.7048608,5504.098177,1413.758249,0.63083946,0,755.1236408,198.5330158,1.912508242,0,375.5127627,48.24239126,0,0,219.0696115,0.97790127,0,0,178.5730403,0.67274622,0,0,0,4.02091463,4649.324675,7721.931805,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,389.0023458,0,12271.89784,17918.59575
12,3197.106851,471.7323226,5503.909164,1413.758249,0.6238,0,759.8611789,198.5330158,1.921619429,0,377.5721931,48.24239126,0,0,221.2632262,0.97790127,0,0,179.2272618,0.67274622,0,0,0,4.02091463,4709.320885,7670.101951,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,330.0022639,0,12280.06784,17867.76567
15,3597.534178,471.7323226,5498.149497,1413.758249,0.621727937,0,757.0534529,198.5330158,1.915031339,0,376.2542345,48.24239126,0,0,218.2211554,0.97790127,0,0,178.1877058,0.67274622,0,0,0,4.02091463,5008.259477,7757.615047,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,216.0031944,0,12666.51784,18140.2166
16,3597.536979,471.7323226,5498.399542,1413.758249,0.622654912,0,758.1947946,198.5330158,1.917554437,0,376.7627016,48.24239126,0,0,218.839444,0.97790127,0,0,178.6521917,0.67274622,0,0,0,4.02091463,5008.30573,7760.557672,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,216.0031944,0,12669.50784,18143.2066
17,3593.043472,471.7323226,5498.64463,1413.758249,0.621237185,0,755.9921095,198.5330158,1.910265488,0,375.0204539,48.24239126,0,0,217.9325097,0.97790127,0,0,178.6021564,0.67274622,0,0,0,4.02091463,4987.956757,7771.747618,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,216.0031944,0,12660.34784,18134.0466
18,3593.293697,471.7323226,5488.797634,1413.758249,0.617692867,0,751.7306082,198.5330158,1.906060325,0,373.9629122,48.24239126,0,0,217.7380624,0.97790127,0,0,178.7167731,0.67274622,0,0,0,4.02091463,5069.913408,7674.787573,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,270.0021889,0,12645.34784,18173.04559
19,3472.083661,471.7323226,5490.463289,1413.758249,0.618892482,0,753.0542913,198.5330158,1.909844972,0,374.4982954,48.24239126,0,0,219.1933778,0.97790127,0,0,178.8872165,0.67274622,0,0,0,4.02091463,4948.87042,7679.77599,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,456.0028008,0,12529.28784,18242.9862
22,3448.115627,471.7323226,5497.887899,1413.758249,0.618238147,0,752.8803269,198.5330158,1.899472236,0,372.8109544,48.24239126,0,0,217.1744832,0.97790127,0,0,177.7403597,0.67274622,0,0,0,4.02091463,4925.238544,7681.826357,1.12612654,144,0,0.8020936,244.4821646,0,0,4162.411308,0,50,500,300,715.005875,0,12507.70784,18480.40928
23,3448.118145,471.7323226,5498.132389,1413.758249,0.617747395,0,752.2953152,198.5330158,1.900032924,0,372.9336375,48.24239126,0,0,217.5500122,0.97790127,0,0,178.160331,0.67274622,0,0,0,4.02091463,4925.247693,7682.397458,1.12612654,144,0,0.8020936,244.4821646,0,0,4212.990908,0,50,500,300,715.005875,0,12508.28784,18531.56888
24,3618.554957,471.7323226,5499.98202,1413.758249,0.590855047,0,751.7064009,198.5330158,1.888678983,0,370.7992181,48.24239126,0,0,216.3214431,0.97790127,0,0,176.9017669,0.67274622,0,0,0,4.02091463,5096.012748,7678.670133,1.12612654,144,0,0.8020936,244.4821646,0,0,4212.990908,0,50,500,300,340.0026708,0,12675.32784,18323.60567
25,3548.563822,471.7323226,5498.137886,1413.758249,0.590384995,0,750.8114118,198.5330158,1.893585007,0,371.5836524,48.24239126,0,0,216.5868112,0.97790127,0,0,177.6280889,0.67274622,0,0,0,4.02091463,5128.362108,7575.371075,1.12612654,144,0,0.8020936,244.4821646,0,0,4212.990908,0,50,500,300,473.0026722,0,12604.37784,18385.65567
26,3541.22895,471.7323226,5486.031773,1413.758249,0.586102302,0,745.228356,198.5330158,1.883352443,0,369.4618441,48.24239126,0,0,214.2084037,0.97790127,0,0,176.1569914,0.67274622,0,0,0,4.02091463,5120.91491,7551.808404,1.12612654,144,0,0.8020936,244.4821646,0,0,4212.990908,0,50,500,300,683.0029581,0,12573.36784,18564.64596
29,3526.275661,471.7323226,5488.370379,1413.758249,0.581871836,0,738.6326557,198.5330158,1.876343838,0,367.7325965,48.24239126,0,0,211.0143538,0.97790127,0,0,175.0296628,0.67274622,0,0,0,4.02091463,5001.901328,7645.549738,1.12612654,144,0,0.8020936,244.4821646,0,0,4212.990908,0,50,500,300,657.0055306,0,12548.09784,18513.37853
30,3526.261738,471.7323226,5488.610132,1413.758249,0.582916395,0,739.9710583,198.5330158,1.879707968,0,368.4044121,48.24239126,0,0,212.0237658,0.97790127,0,0,175.7394412,0.67274622,0,0,0,4.02091463,5001.987415,7649.423297,1.12612654,144,0,0.8020936,244.4821646,0,0,4212.990908,0,50,500,300,657.0055306,0,12552.05784,18517.33853
31,3121.079976,471.7323226,5488.361476,1413.758249,0.586409832,0,743.063382,198.5330158,1.883579895,0,368.6115215,48.24239126,0,0,213.0889786,0.97790127,0,0,175.9283318,0.67274622,0,0,0,4.02091463,4600.215489,7650.325707,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.170966,0,50,500,300,271.0021819,0,12151.18784,17730.64528
32,3451.103456,471.7323226,5507.387284,1413.758249,0.588655413,0,745.4860791,198.5330158,1.894933517,0,370.8259573,48.24239126,0,0,215.9787502,0.97790127,0,0,176.2954284,0.67274622,0,0,0,4.02091463,4930.485036,7677.01305,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.170966,0,50,500,300,570.0025972,0,12508.13784,18386.59569
33,3449.147906,471.7323226,5489.952157,1413.758249,0.590378765,0,747.3004752,198.5330158,1.901241085,0,372.2568384,48.24239126,0,0,215.9555772,0.97790127,0,0,176.6212327,0.67274622,0,0,0,4.02091463,4908.549988,7683.113359,1.12612654,144,0,0.80212813,244.4821646,0,0,0,0,0,0,300,810.0029306,0,12492.30784,13847.59506
36,3597.290112,471.7323226,5471.416322,1413.758249,0.597669601,0,751.3844947,198.5330158,1.893531836,0,369.1465907,48.24239126,0,0,213.1065527,0.97790127,0,0,175.0322993,0.67274622,0,0,0,4.02091463,5111.758581,7606.046533,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.170966,0,50,500,300,617.0050972,0,12618.44784,18543.90819
37,3597.209907,471.7323226,5471.660563,1413.758249,0.596886354,0,750.4085265,198.5330158,1.894703094,0,369.5391264,48.24239126,0,0,213.8727353,0.97790127,0,0,175.4669313,0.67274622,0,0,0,4.02091463,5111.794963,7606.791958,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.170966,0,50,500,300,617.0050972,0,12619.22784,18544.68819
38,3668.700842,471.7323226,5472.802836,1413.758249,0.596834138,0,750.1508424,198.5330158,1.896384411,0,369.8071318,48.24239126,0,0,215.7266106,0.97790127,0,0,176.4056457,0.67274622,0,0,0,4.02091463,5161.882725,7632.141943,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.170966,0,0,500,300,475.0024986,70,12694.66784,18498.12559
39,3666.672502,471.7912431,5467.845993,1413.758249,0.596886354,0,749.624541,198.5330158,1.900167372,0,369.5979748,48.24239126,0,0,216.3401177,0.97790127,0,0,176.2235097,0.67274622,0,0,0,4.02091463,5148.723872,7638.074281,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.170966,0,0,500,300,410.0024083,223,12687.43784,18578.8955
40,3664.893211,471.7912431,5466.973725,1413.758249,0.596625272,0,750.2318804,198.5330158,1.884533178,0,369.2747093,48.24239126,0,0,216.597972,0.97790127,0,0,176.373537,0.67274622,0,0,0,4.02091463,5068.415977,7716.406677,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.347424,0,0,500,300,487.0033319,154,12685.46784,18585.10288
43,3665.0096,471.7912431,5460.221636,1413.758249,0.592186873,0,763.4784685,198.5330158,1.885507961,0,368.832654,48.24239126,0,0,214.8765114,0.97790127,0,0,175.2882588,0.67274622,0,0,0,4.02091463,5068.4985,7719.682786,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.347424,0,0,500,300,844.007057,0,12688.82784,18791.46661
44,3664.934589,471.7912431,5460.465669,1413.758249,0.440010573,0,742.7527964,198.5330158,1.884811688,0,368.7084816,48.24239126,0,0,214.6469432,0.97790127,0,0,175.4209517,0.67274622,0,0,0,4.02091463,5068.280486,7698.970229,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.347424,0,0,500,300,844.007057,0,12667.89784,18770.53661
45,3651.867404,471.7912431,5449.742037,1413.758249,0.439040874,0,741.3473825,198.5330158,1.885090197,0,368.0033659,48.24239126,0,0,214.7215225,0.97790127,0,0,175.2555904,0.67274622,0,0,0,4.02091463,5055.211836,7686.046059,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.347424,0,0,500,300,602.002675,0,12641.89784,18502.53223
46,3802.042016,671.7912431,5449.262646,1413.758249,0.440088149,0,743.3736531,198.5330158,1.885507961,0,367.7724643,48.24239126,0,0,215.2824602,0.97790127,0,0,175.3636879,0.67274622,0,0,0,4.02091463,5517.215373,7576.203612,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.347424,0,0,500,300,515.0025542,0,12994.06784,18767.70211
47,3799.646644,671.8130209,5454.684974,1413.758249,0.440204513,0,744.2287624,198.5330158,1.893027712,0,370.3653191,48.24239126,0,0,216.2348658,0.97790127,0,0,175.8165795,0.67274622,0,0,0,4.02091463,5514.889849,7586.438767,1.12612654,144,0,0.80212813,244.4821646,0,0,4213.347424,0,0,500,300,515.0031097,0,13001.96784,18775.60266
